,class
HP:0000002,(Growth abnormality(生长异常));
HP:0000003,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000008,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000009,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000010,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the immune system(免疫系统异常));
HP:0000011,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000012,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000013,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000014,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000015,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000016,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000017,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000019,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000020,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000021,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000022,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000023,(Abnormality of connective tissue(结缔组织异常));(Abnormality of the digestive system(消化系统异常));
HP:0000024,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the immune system(免疫系统异常));
HP:0000025,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000026,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the endocrine system(内分泌系统异常));
HP:0000027,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000028,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000029,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000030,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Neoplasm(肿瘤));
HP:0000032,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000033,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000034,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000035,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000036,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000037,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000039,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000040,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000041,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000042,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000044,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the endocrine system(内分泌系统异常));
HP:0000045,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000046,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000047,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000048,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000049,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000050,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000051,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000052,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000053,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000054,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000055,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000056,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000058,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000059,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000060,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000061,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000062,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000063,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000064,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000065,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000066,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000068,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000069,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000070,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000071,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000072,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000073,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000074,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000075,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000076,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000077,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000078,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000079,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000080,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000081,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000083,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000085,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000086,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000089,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000090,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000091,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000092,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000093,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0000096,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000097,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000098,(Growth abnormality(生长异常));
HP:0000100,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000104,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000105,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000107,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000110,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000112,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000113,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000114,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000117,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0000118,
HP:0000119,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000121,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000122,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000123,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the immune system(免疫系统异常));
HP:0000124,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000125,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000126,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000127,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0000130,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000131,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Neoplasm(肿瘤));
HP:0000132,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the endocrine system(内分泌系统异常));(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0000133,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000134,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the endocrine system(内分泌系统异常));
HP:0000135,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the endocrine system(内分泌系统异常));
HP:0000136,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000137,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000138,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000139,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of connective tissue(结缔组织异常));
HP:0000140,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the endocrine system(内分泌系统异常));
