,color
HP:0000256,3
HP:0000272,3
HP:0000316,3
HP:0000369,22
HP:0000470,3
HP:0000767,15
HP:0001274,7
HP:0001373,15
HP:0001513,0
HP:0002007,3
HP:0002758,15
HP:0002857,15
HP:0005930,15
HP:0006101,15
HP:0012444,7
HP:0030084,15
HP:0000218,3
HP:0000238,7
HP:0000496,11
HP:0000508,11
HP:0000639,11
HP:0000651,11
HP:0000712,7
HP:0000716,7
HP:0000819,21
HP:0000821,21
HP:0000822,5
HP:0000826,21
HP:0000938,15
HP:0000975,9
HP:0001249,7
HP:0001250,7
HP:0001251,7
HP:0001252,2
HP:0001257,7
HP:0001260,7
HP:0001288,7
HP:0001324,2
HP:0001337,7
HP:0001347,7
HP:0001355,7
HP:0001508,0
HP:0001618,7
HP:0001645,5
HP:0002015,7
HP:0002017,17
HP:0002019,17
HP:0002045,13
HP:0002072,7
HP:0002093,4
HP:0002167,7
HP:0002169,7
HP:0002353,7
HP:0002357,7
HP:0002360,7
HP:0002376,7
HP:0002383,7
HP:0002410,7
HP:0002445,7
HP:0012332,7
HP:0002514,7
HP:0002607,17
HP:0002615,5
HP:0002650,15
HP:0002808,15
HP:0003307,15
HP:0007256,7
HP:0007481,9
HP:0010535,7
HP:0010628,3
HP:0100247,4
HP:0100716,7
HP:0100729,3
HP:0000023,6
HP:0000158,3
HP:0000189,3
HP:0000212,3
HP:0000280,3
HP:0000303,3
HP:0000336,3
HP:0000365,22
HP:0000389,22
HP:0000400,22
HP:0000518,11
HP:0000687,3
HP:0000689,3
HP:0000708,7
HP:0000738,7
HP:0001263,7
HP:0001369,15
HP:0001385,15
HP:0001744,16
HP:0002205,4
HP:0002240,17
HP:0002516,7
HP:0002652,15
HP:0002750,15
HP:0004493,3
HP:0005280,3
HP:0005978,21
HP:0006487,15
HP:0007957,11
HP:0008821,15
HP:0010807,3
HP:0010885,15
HP:0011039,22
HP:0011354,9
HP:0100240,15
HP:0000053,1
HP:0000164,3
HP:0000431,3
HP:0000670,3
HP:0000750,7
HP:0000768,15
HP:0001387,15
HP:0001537,6
HP:0001763,24
HP:0001999,3
